index,field,value
 1.1.3,content,"Free shipping and great prices for shoes, boots, sandals, handbags and other accessories at DSW.com!"
 1.2.3,content,"Shoes are available in plenty of options, ideal for casual wear, workout wear, and sportswear. A lot"
 1.3.3,content,"Shoes Online- Shop shoes online for Men, Women & Kids at 70% Discount in EORS.Shop from the latest c"
 1.4.3,content,7118 items — Shoes For Men in Nepal at Best Price. 7118 items found in Shoes. Kito Slippers for Men 
 1.5.3,content,"Results 1 - 12 of 40000+ — Shoes: Buy sports shoes, slippers, clogs, sneakers, formal shoes from Nik"
 1.6.3,content,A shoe is an item of footwear intended to protect and comfort the human foot. Shoes are also used as
 1.7.3,content,"We are Caliber Shoes from Kathmandu, Nepal. With the vision of crafting design and comfort in footwe"
 1.8.3,content,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Sho"
 1.9.3,content,"Free shipping and returns on women's sneakers, sandals, mules, slides, heels and slippers. Shop top "
 1.1.2,link,https://www.dsw.com › ...
 1.2.2,link,https://www.flipkart.com › ...
 1.3.2,link,https://www.myntra.com › ...
 1.4.2,link,https://www.daraz.com.np › Fashion › Men
 1.5.2,link,https://www.amazon.in › ...
 1.6.2,link,https://en.wikipedia.org › ...
 1.7.2,link,https://calibershoes.com
 1.8.2,link,https://www.toms.com
 1.9.2,link,https://www.nordstrom.com › Women
 1.1.1,name,"DSW: Shoes, Boots, Sandals, Handbags, Free Shipping!"
 1.2.1,name,Men's Footwear - Upto 50% to 80% OFF on Branded ... - Flipkart
 1.3.1,name,"Buy Shoes for Men, Women & Kids online in India - Myntra"
 1.4.1,name,Men's Shoes Price in Nepal - Buy Shoes For Men Online - Daraz
 1.5.1,name,Buy men's shoes online at up to 60% off - Amazon.in
 1.6.1,name,Shoe - Wikipedia
 1.7.1,name,Caliber Shoes – Made in Nepal
 1.8.1,name,"TOMS® Official Site | Shoes, Accessories & Apparel | TOMS"
 1.9.1,name,Women's Shoes | Nordstrom
 2.1.3,content,"Bags Online - Buy from Huge range of Handbags, Travel Bags, Sling Bags, Handbags, Laptop Bags for me"
 2.2.3,content,"82107 Products | Bags Online - Buy Bags (பை) for Girls, Women and Men Online at Best Prices in India"
